Ligand,Target,Rep1,Rep2,Rep3,Mean ± SD
Moxifloxacin,hERG,-9.1,-9,-9.2,-9.1 ± 0.1
FLQ_Mod_2,hERG,-7.2,-7.3,-7.4,-7.3 ± 0.1
