,,,,,
Ligand,Target,ΔG_rep1,ΔG_rep2,ΔG_rep3,Final Mean ± SD
Moxifloxacin,hERG,-9.12,-9.1,-9.14,-9.12 ± 0.12
FLQ_Mod_2,hERG,-7.3,-7.28,-7.32,-7.30 ± 0.15
